,HSPA1B,HSPA1A,S100A10,TXNIP,CCL5,CRIP1,ITGB1,JUN,DNAJC15,UBA52,FGF13,CXCR3,KLF2
Spermatocytes,0,0,0,0,0,0,0,1,0,0,0,0,0
Microglia,0,3,0,0,1,0,0,40,0,0,0,0,2
T cells,0,1,1,2,28,30,0,0,0,0,0,0,0
Myoepithelial cells,0,0,1,0,0,0,0,12,0,0,0,0,0
NK cells,0,0,1,0,86,0,0,0,0,0,0,0,3
Mammary epithelial cells,0,1,0,0,0,0,0,2,0,0,0,0,0
Pulmonary alveolar type II cells,0,0,1,0,0,0,0,1,0,0,0,0,0
Enteric glia cells,1,1,0,0,0,0,0,5,0,0,0,0,0
Serotonergic neurons,0,1,0,0,0,0,0,0,0,0,0,0,0
Basophils,0,0,0,0,0,0,0,4,0,0,0,0,0
Podocytes,0,0,0,0,0,0,0,15,0,0,0,0,0
Trigeminal neurons,0,0,6,0,0,0,0,0,0,0,1,0,0
Enteroendocrine cells,0,0,0,0,0,0,0,1,0,0,0,0,0
Loop of Henle cells,0,0,0,0,0,0,0,1,0,0,0,0,0
Monocytes,0,0,0,0,0,1,0,0,0,0,0,0,0
Platelets,0,0,0,0,1,0,0,0,0,0,0,0,0
Mesothelial cells,0,0,0,0,0,16,0,0,0,0,0,0,0
Smooth muscle cells,1,2,0,0,0,56,1,16,0,0,0,0,0
Pericytes,0,6,0,0,0,26,1,9,0,0,0,0,0
Alveolar macrophages,0,0,0,0,0,6,0,0,0,0,0,0,0
B cells,1,2,0,0,1,3,0,2,0,0,0,0,0
Hepatic stellate cells,0,1,0,0,0,0,0,2,0,0,0,0,0
Stromal cells,0,0,0,0,0,0,0,1,0,0,0,0,0
Decidual cells,0,0,0,0,0,1,0,0,0,0,0,0,0
Peritubular myoid cells,0,0,0,0,0,0,0,5,0,0,0,0,0
T regulatory cells,0,0,0,0,0,2,0,0,0,0,0,0,0
Clara cells,0,0,0,0,0,2,0,0,0,0,0,0,0
Cholangiocytes,0,2,1,0,0,0,0,4,0,0,0,0,0
Intercalated cells,0,0,0,0,0,0,0,1,0,0,0,0,0
Acinar cells,0,0,0,0,0,0,0,5,0,0,0,0,0
Ependymal cells,0,0,0,0,0,2,0,6,0,0,0,0,0
Erythroid-like and erythroid precursor cells,0,0,0,0,1,0,0,0,0,0,0,0,0
Endothelial cells (aorta),0,0,0,0,0,0,0,0,0,0,0,0,2
Myofibroblasts,0,0,0,0,0,1,0,0,0,0,0,0,0
Neutrophils,0,0,0,0,0,5,0,0,0,0,0,0,0
Keratinocytes,0,1,0,0,0,0,0,7,0,0,0,0,0
Endothelial cells,1,16,2,0,0,6,0,63,0,0,0,0,65
Ductal cells,0,0,0,0,0,0,0,3,0,0,0,0,0
Neurons,0,0,0,0,0,0,0,1,0,0,0,0,0
T memory cells,0,1,0,0,15,5,0,0,0,0,0,0,0
Pancreatic stellate cells,1,1,0,0,0,0,0,2,0,0,0,0,0
Basal cells,1,10,2,0,0,0,0,0,0,0,0,0,0
Tuft cells,0,0,0,0,0,7,0,0,0,0,0,0,0
Oligodendrocyte progenitor cells,0,0,0,0,0,0,0,20,0,0,0,0,0
Goblet cells,0,0,0,0,0,5,0,0,0,0,0,0,0
Schwann cells,0,0,0,0,0,4,0,7,0,0,0,0,0
Luminal epithelial cells,0,1,0,0,0,0,0,1,0,0,0,0,0
Nuocytes,0,0,0,0,0,4,0,0,0,0,0,0,0
Astrocytes,0,4,0,0,0,0,0,0,0,0,0,0,0
Enterocytes,0,0,2,0,4,102,0,0,0,0,0,0,0
Macrophages,0,5,0,0,4,51,0,9,0,0,0,0,5
Juxtaglomerular cells,0,0,0,0,0,1,0,0,0,0,0,0,0
Langerhans cells,0,1,0,0,0,0,0,0,0,0,0,0,0
Dendritic cells,0,3,0,0,8,11,0,3,0,0,0,0,0
Epithelial cells,0,0,0,0,0,2,0,1,0,0,0,0,0
Fibroblasts,1,22,1,0,0,20,0,55,0,0,0,0,0
Anterior pituitary gland cells,0,4,0,0,0,0,0,0,0,0,0,0,0
Mast cells,1,2,0,0,0,0,0,1,0,0,0,0,0
Salivary mucous cells,0,1,0,0,0,0,0,0,0,0,0,0,0
Paneth cells,0,0,0,0,3,12,0,0,0,0,0,0,0
Plasma cells,1,1,0,0,0,0,0,12,0,0,0,0,0
Vascular smooth muscle cells,0,0,0,0,0,0,0,1,0,0,0,0,1
Gamma delta T cells,0,0,0,0,14,0,0,1,0,0,0,0,0
