,S100A10,CCL5,KLF2,TXNIP,UBA52,DNAJC15,FGF13,ITGB1,CRIP1,HSPA1A,HSPA1B,CXCR3,JUN
Plasma cells,0,0,0,0,0,0,0,0,0,1,1,0,12
Astrocytes,0,0,0,0,0,0,0,0,0,4,0,0,0
Endothelial cells (aorta),0,0,2,0,0,0,0,0,0,0,0,0,0
Enteroendocrine cells,0,0,0,0,0,0,0,0,0,0,0,0,1
Fibroblasts,1,0,0,0,0,0,0,0,20,22,1,0,55
Gamma delta T cells,0,14,0,0,0,0,0,0,0,0,0,0,1
Mast cells,0,0,0,0,0,0,0,0,0,2,1,0,1
Luminal epithelial cells,0,0,0,0,0,0,0,0,0,1,0,0,1
T regulatory cells,0,0,0,0,0,0,0,0,2,0,0,0,0
Myofibroblasts,0,0,0,0,0,0,0,0,1,0,0,0,0
Monocytes,0,0,0,0,0,0,0,0,1,0,0,0,0
Neurons,0,0,0,0,0,0,0,0,0,0,0,0,1
Basal cells,2,0,0,0,0,0,0,0,0,10,1,0,0
Acinar cells,0,0,0,0,0,0,0,0,0,0,0,0,5
Dendritic cells,0,8,0,0,0,0,0,0,11,3,0,0,3
Vascular smooth muscle cells,0,0,1,0,0,0,0,0,0,0,0,0,1
NK cells,1,86,3,0,0,0,0,0,0,0,0,0,0
Schwann cells,0,0,0,0,0,0,0,0,4,0,0,0,7
T cells,1,28,0,2,0,0,0,0,30,1,0,0,0
Pancreatic stellate cells,0,0,0,0,0,0,0,0,0,1,1,0,2
Enterocytes,2,4,0,0,0,0,0,0,102,0,0,0,0
Macrophages,0,4,5,0,0,0,0,0,51,5,0,0,9
Trigeminal neurons,6,0,0,0,0,0,1,0,0,0,0,0,0
Erythroid-like and erythroid precursor cells,0,1,0,0,0,0,0,0,0,0,0,0,0
Goblet cells,0,0,0,0,0,0,0,0,5,0,0,0,0
Smooth muscle cells,0,0,0,0,0,0,0,1,56,2,1,0,16
Alveolar macrophages,0,0,0,0,0,0,0,0,6,0,0,0,0
Endothelial cells,2,0,65,0,0,0,0,0,6,16,1,0,63
Pulmonary alveolar type II cells,1,0,0,0,0,0,0,0,0,0,0,0,1
Mesothelial cells,0,0,0,0,0,0,0,0,16,0,0,0,0
Mammary epithelial cells,0,0,0,0,0,0,0,0,0,1,0,0,2
Nuocytes,0,0,0,0,0,0,0,0,4,0,0,0,0
Enteric glia cells,0,0,0,0,0,0,0,0,0,1,1,0,5
Tuft cells,0,0,0,0,0,0,0,0,7,0,0,0,0
B cells,0,1,0,0,0,0,0,0,3,2,1,0,2
Stromal cells,0,0,0,0,0,0,0,0,0,0,0,0,1
Clara cells,0,0,0,0,0,0,0,0,2,0,0,0,0
Spermatocytes,0,0,0,0,0,0,0,0,0,0,0,0,1
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,4
Paneth cells,0,3,0,0,0,0,0,0,12,0,0,0,0
Ductal cells,0,0,0,0,0,0,0,0,0,0,0,0,3
Intercalated cells,0,0,0,0,0,0,0,0,0,0,0,0,1
Pericytes,0,0,0,0,0,0,0,1,26,6,0,0,9
Langerhans cells,0,0,0,0,0,0,0,0,0,1,0,0,0
Hepatic stellate cells,0,0,0,0,0,0,0,0,0,1,0,0,2
Ependymal cells,0,0,0,0,0,0,0,0,2,0,0,0,6
Juxtaglomerular cells,0,0,0,0,0,0,0,0,1,0,0,0,0
Salivary mucous cells,0,0,0,0,0,0,0,0,0,1,0,0,0
Microglia,0,1,2,0,0,0,0,0,0,3,0,0,40
Cholangiocytes,1,0,0,0,0,0,0,0,0,2,0,0,4
Keratinocytes,0,0,0,0,0,0,0,0,0,1,0,0,7
Loop of Henle cells,0,0,0,0,0,0,0,0,0,0,0,0,1
Peritubular myoid cells,0,0,0,0,0,0,0,0,0,0,0,0,5
Serotonergic neurons,0,0,0,0,0,0,0,0,0,1,0,0,0
Podocytes,0,0,0,0,0,0,0,0,0,0,0,0,15
Platelets,0,1,0,0,0,0,0,0,0,0,0,0,0
Neutrophils,0,0,0,0,0,0,0,0,5,0,0,0,0
Myoepithelial cells,1,0,0,0,0,0,0,0,0,0,0,0,12
T memory cells,0,15,0,0,0,0,0,0,5,1,0,0,0
Epithelial cells,0,0,0,0,0,0,0,0,2,0,0,0,1
Oligodendrocyte progenitor cells,0,0,0,0,0,0,0,0,0,0,0,0,20
Decidual cells,0,0,0,0,0,0,0,0,1,0,0,0,0
Anterior pituitary gland cells,0,0,0,0,0,0,0,0,0,4,0,0,0
