,XCL1,CRTAM,IRF8,RPS2,MIF,PKP4,NPM1,NRGN,TNFRSF9,REL,TNFRSF4,EIF5A,EEA1
T cells,0,0,0,69,0,0,0,0,0,0,0,0,0
Myoepithelial cells,0,0,0,1,1,0,0,0,0,0,0,0,0
NK cells,0,0,0,18,0,0,0,0,0,0,0,0,0
B cells naive,0,0,0,4,0,0,0,0,0,0,0,0,0
Proximal tubule cells,0,0,0,3,0,0,0,0,0,0,0,0,0
Pulmonary alveolar type II cells,0,0,0,3,0,0,0,0,0,0,0,0,0
Serotonergic neurons,0,0,0,1,0,0,0,0,0,0,0,0,0
Enteroendocrine cells,0,0,0,3,0,0,0,0,0,0,0,0,0
Monocytes,0,0,0,9,0,0,0,0,0,0,0,0,0
Platelets,0,0,0,1,0,0,0,0,0,0,0,0,0
Mesothelial cells,0,0,0,2,0,0,0,0,0,0,0,0,0
Adipocytes,0,0,0,7,0,0,0,0,0,0,0,0,0
Delta cells,0,0,0,4,0,0,0,0,0,0,0,0,0
B cells,0,0,2,21,0,0,0,0,0,0,0,0,0
Hepatic stellate cells,0,0,0,2,0,0,0,0,0,0,0,0,0
Peritubular myoid cells,0,0,0,1,0,0,0,0,0,0,0,0,0
Gamma (PP) cells,0,0,0,6,0,0,0,0,0,0,0,0,0
Unknown,0,0,15,201,0,0,1,0,0,1,0,4,0
Interneurons,0,0,0,0,0,0,0,2,0,0,0,0,0
Cholangiocytes,0,0,0,24,0,0,0,0,0,0,0,0,0
Acinar cells,0,0,0,3,0,0,0,0,0,0,0,0,0
Erythroid-like and erythroid precursor cells,0,0,0,46,0,0,0,0,0,0,0,0,0
Neutrophils,0,0,0,2,0,0,0,0,0,0,0,0,0
Keratinocytes,0,0,0,9,0,0,0,0,0,0,0,0,0
Endothelial cells,0,0,0,22,0,0,0,0,0,0,0,0,0
Hepatocytes,0,0,0,1,0,0,0,0,0,0,0,0,0
Ductal cells,0,0,0,10,0,0,0,0,0,0,0,0,0
Neurons,0,0,0,0,0,0,0,3,0,0,0,0,0
T memory cells,0,0,0,6,0,0,0,0,0,0,0,0,0
Basal cells,0,0,0,38,0,0,0,0,0,0,0,1,0
Pancreatic stellate cells,0,0,0,10,0,0,0,0,0,0,0,0,0
Goblet cells,0,0,0,3,0,0,0,0,0,0,0,0,0
Luminal epithelial cells,0,0,0,1,0,0,0,0,0,0,0,0,0
Germ cells,0,0,0,46,0,0,0,0,0,0,0,1,0
Enterocytes,0,0,0,2,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,0,0,3,0,0,0
Osteoblasts,0,0,0,2,0,0,0,0,0,0,0,0,0
T cells naive,0,0,0,1,0,0,0,0,0,0,0,0,0
Dendritic cells,0,0,0,55,0,0,0,0,0,0,0,0,0
Langerhans cells,0,0,0,15,0,0,0,0,0,0,0,0,0
Epithelial cells,0,0,0,1,0,0,0,0,0,0,0,0,0
Alpha cells,0,0,0,15,0,0,0,0,0,0,0,0,0
Fibroblasts,0,0,0,24,0,0,0,0,0,0,0,1,0
Paneth cells,0,0,0,2,0,0,0,0,0,0,0,0,0
Plasmacytoid dendritic cells,0,0,15,14,0,0,0,0,0,0,0,0,0
Beta cells,0,0,0,1,0,0,0,0,0,0,0,0,0
Plasma cells,0,0,0,3,0,0,0,0,0,0,0,0,0
Gamma delta T cells,0,0,0,10,0,0,0,0,0,0,0,0,0
