,VIM,LIG1,PPIA,PTMA,HMGB2,HMGN2,RAN,STMN1,PCLAF,LGALS1,MCM3,DUT
Spermatocytes,1,0,0,0,0,0,0,0,0,0,0,0
T cells,4,0,4,15,2,0,0,1,0,19,0,0
Myoepithelial cells,0,0,0,5,0,0,0,0,0,0,0,0
NK cells,0,0,0,5,0,0,0,0,0,9,0,0
Luteal cells,0,0,0,1,0,0,0,0,0,0,0,0
Pulmonary alveolar type II cells,0,0,1,1,0,0,0,0,0,0,0,0
Enteric glia cells,5,0,0,0,0,0,0,0,0,4,0,0
Podocytes,5,0,0,0,0,0,0,0,0,0,0,0
Trigeminal neurons,0,0,6,0,0,0,0,0,0,0,0,0
Mesothelial cells,0,0,0,0,0,0,0,0,0,6,0,0
Smooth muscle cells,7,0,0,0,0,0,0,0,0,5,0,0
Pericytes,1,0,0,1,0,0,0,0,0,2,0,0
Adipocytes,0,0,0,0,0,0,0,0,0,8,0,0
Neural stem/precursor cells,0,0,0,6,3,3,0,9,0,0,0,0
Alveolar macrophages,22,0,0,3,0,0,0,0,0,0,0,0
B cells,0,0,1,48,5,0,0,1,0,0,0,0
Hepatic stellate cells,1,0,0,0,0,0,0,0,0,1,0,0
Decidual cells,1,0,0,1,0,0,0,0,0,1,0,0
Peritubular myoid cells,3,0,0,0,0,0,0,0,0,0,0,0
Unknown,40,0,10,153,21,10,0,15,1,147,0,0
Clara cells,0,0,0,2,0,0,0,0,0,0,0,0
Ependymal cells,3,0,1,13,0,0,0,0,0,0,0,0
Erythroid-like and erythroid precursor cells,0,0,1,2,25,0,0,0,0,0,0,0
Endothelial cells (aorta),1,0,0,0,0,0,0,0,0,0,0,0
Neutrophils,0,0,1,12,67,12,0,0,0,0,0,0
Keratinocytes,0,0,0,0,0,0,0,0,0,1,0,0
Endothelial cells,22,0,1,28,0,0,0,0,0,2,0,0
Neurons,0,0,0,0,0,0,0,4,0,0,0,0
T memory cells,1,0,3,7,3,0,0,3,0,8,0,0
Basal cells,0,0,0,1,0,0,0,0,0,10,0,0
Pancreatic stellate cells,0,0,0,1,0,0,0,0,0,6,0,0
Oligodendrocyte progenitor cells,0,0,0,3,1,0,0,0,0,0,0,0
Schwann cells,16,0,0,2,0,0,0,0,0,3,0,0
Nuocytes,0,0,0,0,0,0,0,0,0,1,0,0
Germ cells,0,0,0,27,0,0,3,1,0,0,0,0
Astrocytes,1,0,0,0,0,0,0,0,0,0,0,0
Enterocytes,0,0,0,10,0,0,0,0,0,0,0,0
Retinal ganglion cells,0,0,0,0,0,0,0,2,0,0,0,0
Macrophages,7,0,0,2,0,0,0,0,0,7,0,0
Oligodendrocytes,0,0,0,19,0,0,0,15,0,2,0,0
Osteoblasts,0,0,0,0,0,0,0,0,0,11,0,0
Langerhans cells,0,0,0,1,0,0,0,0,0,3,0,0
Dendritic cells,3,0,0,5,0,1,0,0,0,0,0,0
Alpha cells,0,0,0,0,0,0,0,1,0,0,0,0
Fibroblasts,18,0,0,0,0,0,0,0,0,83,0,0
Ciliated cells,0,0,0,2,0,0,0,0,0,0,0,0
Mast cells,4,0,0,3,0,0,0,0,0,1,0,0
Plasmacytoid dendritic cells,0,0,0,0,0,0,0,0,0,2,0,0
Beta cells,0,0,0,0,0,0,0,1,0,0,0,0
Gamma delta T cells,0,0,0,8,0,0,0,0,0,2,0,0
