,ZBTB20,UTRN,MTCO2,TCF12,STAT4,MTND2,MTCYTB,CCND3,ST6GALNAC3,MTATP6,TRPS1,ARL15,MTCO3
Endothelial cells,0,0,15,0,0,11,158,0,0,12,0,0,17
B cells,0,0,3,0,0,1,22,0,0,1,0,0,2
Platelets,0,0,2,0,0,2,1,0,0,2,0,0,2
Gamma delta T cells,0,0,23,0,0,4,1,0,0,3,0,0,15
Erythroid-like and erythroid precursor cells,0,0,13,0,0,9,13,0,0,5,0,0,14
T cells,0,0,15,0,0,7,18,0,0,7,0,0,13
NK cells,0,0,14,0,0,1,1,0,0,2,0,0,7
T memory cells,0,0,0,0,0,0,21,0,0,0,0,0,0
Dendritic cells,0,0,28,0,0,6,0,0,0,4,0,0,27
Langerhans cells,0,0,17,0,0,1,0,0,0,8,0,0,15
Plasma cells,0,0,11,0,0,2,0,0,0,4,0,0,5
Pulmonary alveolar type II cells,0,0,2,0,0,1,23,0,0,2,0,0,3
Mesothelial cells,0,0,1,0,0,0,3,0,0,0,0,0,2
Basal cells,0,0,26,0,0,4,1,0,0,2,0,0,38
Macrophages,0,0,8,0,0,1,15,0,0,1,0,0,8
Luminal epithelial cells,0,0,6,0,0,2,2,0,0,1,0,0,6
Enterocytes,0,0,9,0,0,2,101,0,0,10,0,0,11
Cholangiocytes,0,0,45,0,0,25,0,0,0,31,0,0,48
Ductal cells,0,0,16,0,0,3,0,0,0,3,0,0,10
Hepatocytes,0,0,36,0,0,34,17,0,0,30,0,0,32
Keratinocytes,0,0,6,0,0,3,30,0,0,1,0,0,6
Spermatocytes,0,0,27,0,0,27,0,0,0,27,0,0,30
Peritubular myoid cells,0,0,9,0,0,8,0,0,0,9,0,0,14
Germ cells,0,0,96,0,0,63,23,0,0,50,0,0,103
Fibroblasts,0,0,18,0,0,2,51,0,0,4,0,0,26
Smooth muscle cells,0,0,6,0,0,5,57,0,0,4,0,0,18
Epithelial cells,0,0,32,0,0,12,8,0,0,18,0,0,30
Goblet cells,0,0,17,0,0,8,10,0,0,9,0,0,15
Salivary mucous cells,0,0,1,0,0,2,1,0,0,1,0,0,2
Leydig cells,0,0,2,0,0,0,3,0,0,2,0,0,2
Pericytes,0,0,3,0,0,2,42,0,0,1,0,0,3
Clara cells,0,0,1,0,0,2,25,0,0,1,0,0,1
Enteroendocrine cells,0,0,13,0,0,16,21,0,0,2,0,0,14
Ependymal cells,3,0,5,0,0,3,30,0,0,2,0,0,5
B cells naive,0,0,1,0,0,1,0,0,0,1,0,0,1
Monocytes,0,0,5,0,0,0,0,0,0,1,0,0,5
Serotonergic neurons,0,0,1,0,0,0,0,0,0,0,0,0,1
Beta cells,0,0,19,0,0,6,23,0,0,0,0,0,19
Myoepithelial cells,0,0,1,0,0,0,8,0,0,0,0,0,3
Loop of Henle cells,0,0,1,0,0,0,0,0,0,0,0,0,1
