,CHN2,RGS16,CCL3,HAVCR2,RBPJ,NKG7,TNFRSF9,CXCR6,ITGAV,LAG3,SETBP1,TMEM163,CCL4
Gamma delta T cells,0,0,0,0,0,56,0,0,0,0,0,0,5
Dendritic cells,0,0,0,0,0,0,0,0,0,0,0,0,2
Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1
NK cells,0,0,0,0,0,47,0,0,0,0,0,0,3
T cells,0,0,0,0,0,8,0,4,0,0,0,0,0
Plasmacytoid dendritic cells,0,0,0,0,0,0,0,0,0,0,0,0,3
Macrophages,0,0,6,0,0,0,0,0,0,0,0,0,17
T memory cells,0,0,0,0,0,5,0,1,0,0,0,0,0
Neutrophils,0,0,3,0,0,0,0,0,0,0,0,0,3
Oligodendrocytes,1,0,0,0,0,0,0,0,0,0,0,0,0
Keratinocytes,0,0,0,0,0,1,0,0,0,0,0,0,0
Basophils,0,0,7,0,0,0,0,0,0,0,0,0,5
Microglia,0,0,18,0,0,0,0,0,0,0,0,0,32
Nuocytes,0,0,0,0,0,0,0,1,0,0,0,0,0
Decidual cells,0,0,0,0,0,2,0,0,0,0,0,0,0
