,VIM,HMGB2,PTMA,PPIA,LIG1,LGALS1,PCLAF,STMN1,MCM3,DUT,HMGN2,RAN
Germ cells,0,0,27,0,0,0,0,1,0,0,0,3
Basal cells,0,0,1,0,0,10,0,0,0,0,0,0
Erythroid-like and erythroid precursor cells,0,25,2,1,0,0,0,0,0,0,0,0
NK cells,0,0,5,0,0,9,0,0,0,0,0,0
Gamma delta T cells,0,0,8,0,0,2,0,0,0,0,0,0
T cells,4,2,15,4,0,19,0,1,0,0,0,0
B cells,0,5,48,1,0,0,0,1,0,0,0,0
Neutrophils,0,67,12,1,0,0,0,0,0,0,12,0
Langerhans cells,0,0,1,0,0,3,0,0,0,0,0,0
Dendritic cells,3,0,5,0,0,0,0,0,0,0,1,0
Fibroblasts,18,0,0,0,0,83,0,0,0,0,0,0
Beta cells,0,0,0,0,0,0,0,1,0,0,0,0
Pancreatic stellate cells,0,0,1,0,0,6,0,0,0,0,0,0
Endothelial cells,22,0,28,1,0,2,0,0,0,0,0,0
Pericytes,1,0,1,0,0,2,0,0,0,0,0,0
Alpha cells,0,0,0,0,0,0,0,1,0,0,0,0
Smooth muscle cells,7,0,0,0,0,5,0,0,0,0,0,0
Peritubular myoid cells,3,0,0,0,0,0,0,0,0,0,0,0
Plasmacytoid dendritic cells,0,0,0,0,0,2,0,0,0,0,0,0
T memory cells,1,3,7,3,0,8,0,3,0,0,0,0
Enteric glia cells,5,0,0,0,0,4,0,0,0,0,0,0
Hepatic stellate cells,1,0,0,0,0,1,0,0,0,0,0,0
Mesothelial cells,0,0,0,0,0,6,0,0,0,0,0,0
Keratinocytes,0,0,0,0,0,1,0,0,0,0,0,0
Pulmonary alveolar type II cells,0,0,1,1,0,0,0,0,0,0,0,0
Macrophages,7,0,2,0,0,7,0,0,0,0,0,0
Ependymal cells,3,0,13,1,0,0,0,0,0,0,0,0
Adipocytes,0,0,0,0,0,8,0,0,0,0,0,0
Oligodendrocytes,0,0,19,0,0,2,0,15,0,0,0,0
Myoepithelial cells,0,0,5,0,0,0,0,0,0,0,0,0
Spermatocytes,1,0,0,0,0,0,0,0,0,0,0,0
Mast cells,4,0,3,0,0,1,0,0,0,0,0,0
Neurons,0,0,0,0,0,0,0,4,0,0,0,0
Clara cells,0,0,2,0,0,0,0,0,0,0,0,0
Enterocytes,0,0,10,0,0,0,0,0,0,0,0,0
Oligodendrocyte progenitor cells,0,1,3,0,0,0,0,0,0,0,0,0
Neural stem/precursor cells,0,3,6,0,0,0,0,9,0,0,3,0
Decidual cells,1,0,1,0,0,1,0,0,0,0,0,0
Osteoblasts,0,0,0,0,0,11,0,0,0,0,0,0
Schwann cells,16,0,2,0,0,3,0,0,0,0,0,0
Alveolar macrophages,22,0,3,0,0,0,0,0,0,0,0,0
Trigeminal neurons,0,0,0,6,0,0,0,0,0,0,0,0
Retinal ganglion cells,0,0,0,0,0,0,0,2,0,0,0,0
Nuocytes,0,0,0,0,0,1,0,0,0,0,0,0
Podocytes,5,0,0,0,0,0,0,0,0,0,0,0
Endothelial cells (aorta),1,0,0,0,0,0,0,0,0,0,0,0
Luteal cells,0,0,1,0,0,0,0,0,0,0,0,0
Astrocytes,1,0,0,0,0,0,0,0,0,0,0,0
Ciliated cells,0,0,2,0,0,0,0,0,0,0,0,0
