,CRTAM,REL,RPS2,EIF5A,NPM1,TNFRSF9,TNFRSF4,XCL1,MIF,NRGN,EEA1,IRF8,PKP4
Fibroblasts,0,0,6,0,0,0,0,0,0,0,0,0,0
Adipocytes,0,0,7,0,0,0,0,0,0,0,0,0,0
Germ cells,0,0,9,0,0,0,0,0,0,0,0,0,0
Ductal cells,0,0,2,0,0,0,0,0,0,0,0,0,0
Luminal epithelial cells,0,0,1,0,0,0,0,0,0,0,0,0,0
Basal cells,0,0,15,0,0,0,0,0,0,0,0,0,0
Cholangiocytes,0,0,2,0,0,0,0,0,0,0,0,0,0
Dendritic cells,0,0,2,0,0,0,0,0,0,0,0,0,0
Erythroid-like and erythroid precursor cells,0,0,10,0,0,0,0,0,0,0,0,0,0
Gamma delta T cells,0,0,2,0,0,0,0,0,0,0,0,0,0
T cells,0,0,1,0,0,0,0,0,0,0,0,0,0
B cells,0,0,2,0,0,0,0,0,0,0,0,0,0
Monocytes,0,0,1,0,0,0,0,0,0,0,0,0,0
