,UBA52,ITGB1,FGF13,HSPA1A,HSPA1B,TXNIP,DNAJC15,KLF2,S100A10,JUN,CXCR3,CRIP1,CCL5
Cholangiocytes,0,0,0,1,0,0,0,0,0,2,0,0,0
Smooth muscle cells,0,0,0,1,0,0,0,0,0,8,0,48,0
Anterior pituitary gland cells,0,0,0,1,0,0,0,0,0,0,0,0,0
Alveolar macrophages,0,0,0,0,0,0,0,0,0,0,0,1,0
Monocytes,0,0,0,0,0,0,0,0,0,0,0,1,0
Podocytes,0,0,0,0,0,0,0,0,0,12,0,0,0
Mesothelial cells,0,0,0,0,0,0,0,0,0,0,0,16,0
Vascular smooth muscle cells,0,0,0,0,0,0,0,1,0,0,0,0,0
Basophils,0,0,0,0,0,0,0,0,0,2,0,0,0
Microglia,0,0,0,0,0,0,0,0,0,19,0,0,0
Keratinocytes,0,0,0,0,0,0,0,0,0,2,0,0,0
Dendritic cells,0,0,0,3,0,0,0,0,0,1,0,3,7
Schwann cells,0,0,0,0,0,0,0,0,0,3,0,2,0
Myofibroblasts,0,0,0,0,0,0,0,0,0,0,0,1,0
Luminal epithelial cells,0,0,0,1,0,0,0,0,0,1,0,0,0
Nuocytes,0,0,0,0,0,0,0,0,0,0,0,2,0
Gamma delta T cells,0,0,0,0,0,0,0,0,0,0,0,0,13
Enterocytes,0,0,0,0,0,0,0,0,0,0,0,88,2
Platelets,0,0,0,0,0,0,0,0,0,0,0,0,1
B cells,0,0,0,2,0,0,0,0,0,1,0,1,0
Myoepithelial cells,0,0,0,0,0,0,0,0,0,2,0,0,0
T cells,0,0,0,1,0,0,0,0,0,0,0,18,23
Oligodendrocyte progenitor cells,0,0,0,0,0,0,0,0,0,17,0,0,0
Mast cells,0,0,0,2,0,0,0,0,0,0,0,0,0
Epithelial cells,0,0,0,0,0,0,0,0,0,1,0,0,0
Peritubular myoid cells,0,0,0,0,0,0,0,0,0,1,0,0,0
T memory cells,0,0,0,1,0,0,0,0,0,0,0,1,10
Paneth cells,0,0,0,0,0,0,0,0,0,0,0,5,3
Hepatic stellate cells,0,0,0,1,0,0,0,0,0,0,0,0,0
Fibroblasts,0,0,0,14,0,0,0,0,0,31,0,5,0
NK cells,0,0,0,0,0,0,0,0,0,0,0,0,80
Neutrophils,0,0,0,0,0,0,0,0,0,0,0,2,0
Endothelial cells,0,0,0,9,0,0,0,43,0,30,0,3,0
Basal cells,0,0,0,5,0,0,0,0,1,0,0,0,0
Langerhans cells,0,0,0,1,0,0,0,0,0,0,0,0,0
T regulatory cells,0,0,0,0,0,0,0,0,0,0,0,2,0
Plasma cells,0,0,0,1,0,0,0,0,0,4,0,0,0
Enteric glia cells,0,0,0,1,1,0,0,0,0,4,0,0,0
Pericytes,0,0,0,3,0,0,0,0,0,2,0,19,0
Salivary mucous cells,0,0,0,1,0,0,0,0,0,0,0,0,0
Spermatocytes,0,0,0,0,0,0,0,0,0,1,0,0,0
Ductal cells,0,0,0,0,0,0,0,0,0,3,0,0,0
Tuft cells,0,0,0,0,0,0,0,0,0,0,0,6,0
Juxtaglomerular cells,0,0,0,0,0,0,0,0,0,0,0,1,0
Macrophages,0,0,0,1,0,0,0,0,0,2,0,22,2
Pancreatic stellate cells,0,0,0,1,1,0,0,0,0,1,0,0,0
Loop of Henle cells,0,0,0,0,0,0,0,0,0,1,0,0,0
