,PKP4,TNFRSF9,XCL1,MIF,IRF8,REL,NRGN,RPS2,EEA1,NPM1,CRTAM,EIF5A,TNFRSF4
Cholangiocytes,0,0,0,0,0,0,0,9,0,0,0,0,0
T cells naive,0,0,0,0,0,0,0,1,0,0,0,0,0
Monocytes,0,0,0,0,0,0,0,8,0,0,0,0,0
Dendritic cells,0,0,0,0,0,0,0,16,0,0,0,0,0
Luminal epithelial cells,0,0,0,0,0,0,0,1,0,0,0,0,0
Gamma delta T cells,0,0,0,0,0,0,0,3,0,0,0,0,0
Platelets,0,0,0,0,0,0,0,1,0,0,0,0,0
B cells,0,0,0,0,0,0,0,4,0,0,0,0,0
T cells,0,0,0,0,0,0,0,10,0,0,0,0,0
Plasmacytoid dendritic cells,0,0,0,0,0,0,0,4,0,0,0,0,0
Adipocytes,0,0,0,0,0,0,0,7,0,0,0,0,0
T memory cells,0,0,0,0,0,0,0,1,0,0,0,0,0
Germ cells,0,0,0,0,0,0,0,27,0,0,0,0,0
Hepatic stellate cells,0,0,0,0,0,0,0,1,0,0,0,0,0
Erythroid-like and erythroid precursor cells,0,0,0,0,0,0,0,25,0,0,0,0,0
Fibroblasts,0,0,0,0,0,0,0,11,0,0,0,1,0
NK cells,0,0,0,0,0,0,0,2,0,0,0,0,0
Endothelial cells,0,0,0,0,0,0,0,1,0,0,0,0,0
Basal cells,0,0,0,0,0,0,0,22,0,0,0,0,0
Langerhans cells,0,0,0,0,0,0,0,6,0,0,0,0,0
Ductal cells,0,0,0,0,0,0,0,4,0,0,0,0,0
Hepatocytes,0,0,0,0,0,0,0,1,0,0,0,0,0
Pancreatic stellate cells,0,0,0,0,0,0,0,2,0,0,0,0,0
