,S100A10,CCL5,KLF2,TXNIP,UBA52,DNAJC15,FGF13,ITGB1,CRIP1,HSPA1A,HSPA1B,CXCR3,JUN
Fibroblasts,0,0,0,0,0,0,0,0,2,9,0,0,8
Gamma delta T cells,0,6,0,0,0,0,0,0,0,0,0,0,0
Mast cells,0,0,0,0,0,0,0,0,0,2,0,0,0
Luminal epithelial cells,0,0,0,0,0,0,0,0,0,1,0,0,0
T regulatory cells,0,0,0,0,0,0,0,0,1,0,0,0,0
Myofibroblasts,0,0,0,0,0,0,0,0,1,0,0,0,0
Basal cells,0,0,0,0,0,0,0,0,0,1,0,0,0
Dendritic cells,0,6,0,0,0,0,0,0,0,0,0,0,0
NK cells,0,70,0,0,0,0,0,0,0,0,0,0,0
Schwann cells,0,0,0,0,0,0,0,0,1,0,0,0,2
T cells,0,16,0,0,0,0,0,0,14,1,0,0,0
Pancreatic stellate cells,0,0,0,0,0,0,0,0,0,1,0,0,0
Enterocytes,0,2,0,0,0,0,0,0,67,0,0,0,0
Macrophages,0,2,0,0,0,0,0,0,8,0,0,0,1
Smooth muscle cells,0,0,0,0,0,0,0,0,35,1,0,0,0
Endothelial cells,0,0,16,0,0,0,0,0,0,3,0,0,6
Mesothelial cells,0,0,0,0,0,0,0,0,15,0,0,0,0
Nuocytes,0,0,0,0,0,0,0,0,1,0,0,0,0
Enteric glia cells,0,0,0,0,0,0,0,0,0,1,0,0,2
Tuft cells,0,0,0,0,0,0,0,0,6,0,0,0,0
B cells,0,0,0,0,0,0,0,0,0,1,0,0,0
Paneth cells,0,3,0,0,0,0,0,0,2,0,0,0,0
Ductal cells,0,0,0,0,0,0,0,0,0,0,0,0,2
Pericytes,0,0,0,0,0,0,0,0,5,2,0,0,0
Juxtaglomerular cells,0,0,0,0,0,0,0,0,1,0,0,0,0
Microglia,0,0,0,0,0,0,0,0,0,0,0,0,5
Cholangiocytes,0,0,0,0,0,0,0,0,0,0,0,0,2
Keratinocytes,0,0,0,0,0,0,0,0,0,0,0,0,2
Loop of Henle cells,0,0,0,0,0,0,0,0,0,0,0,0,1
Peritubular myoid cells,0,0,0,0,0,0,0,0,0,0,0,0,1
Myoepithelial cells,0,0,0,0,0,0,0,0,0,0,0,0,1
T memory cells,0,7,0,0,0,0,0,0,0,0,0,0,0
Epithelial cells,0,0,0,0,0,0,0,0,0,0,0,0,1
Oligodendrocyte progenitor cells,0,0,0,0,0,0,0,0,0,0,0,0,4
